店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
居酒屋 おでん専門店 いっこん 近鉄四日市店,050-5487-1719,,三重県,四日市市諏訪栄町,12-6,1F,https://robata-yokkaichi.gorp.jp/,False
おでん・和ごはん・まにまに,050-5487-9863,,奈良県,香芝市穴虫,27-12,,https://kdfp700.gorp.jp/,False
かわ焼き・餃子・おでん 博多かわ屋べつどころ 静岡呉服町店,050-5487-6212,,静岡県,静岡市葵区呉服町,2-9-8,杉原ビル1F,https://kawaya-shizuoka.gorp.jp/,False
おでんと地酒 吾妻屋,050-5484-1499,,東京都,台東区雷門,1-13-10,,https://g104501.gorp.jp/,False
天ぷらとおでん 個室 天串（TENGUSHI） 豊橋駅前店,050-5494-3336,,愛知県,豊橋市広小路,1-34-2,冨田ビル1～2F,https://n244932.gorp.jp/,False
天ぷらとおでん 個室 天串（TENGUSHI） 六本木店,050-5494-3333,,東京都,港区六本木,4-9-9,東瑙ビルB1,https://gab2506.gorp.jp/,False
炉端とおでん きょうすけ,050-5492-1372,,東京都,新宿区新宿,3-6-9,山口ビルB1,https://ghfk902.gorp.jp/,False
海鮮千葉料理 おでんでんでん 千葉中央店,050-5487-9725,,千葉県,千葉市中央区中央,2-2-5,,https://ge6e801.gorp.jp/,False
おでん 天麩羅 十八番 名古屋駅店,050-5489-4907,,愛知県,名古屋市中村区名駅,5-22-11,,https://n947700.gorp.jp/,False
創作肉割烹とおでん 鶴屋はなれ 横浜鶴屋町店,050-5487-3387,,神奈川県,横浜市神奈川区鶴屋町,1-7-1,デリス横浜ビル5F,https://gh96904.gorp.jp/,False
天ぷらとおでん 個室 天串（TENGUSHI） 豊田駅前店,050-5489-0905,,愛知県,豊田市若宮町,7-5-2,misonoビル1F,https://n244930.gorp.jp/,False
おでんバル Takehiro,050-5492-9921,,大阪府,大阪市天王寺区上本町,6-3-31,2F,https://kdu0900.gorp.jp/,False
おでん懐石 金澤かが美,050-5487-8048,,石川県,金沢市本町,2-2-3,,https://kanazawa-kagami.gorp.jp/,False
串揚げ・おでん ふたつめ 三島店,050-5486-0251,,静岡県,三島市一番町,9-43,太陽ビル1F,https://futatsume-mishima.gorp.jp/,False
おでん家 万昌 ぶらっせ 北浦和店,050-5486-0849,,埼玉県,さいたま市浦和区北浦和,4-1-6,2F,https://burasse-kitaurawa.gorp.jp/,False
おでん屋たけし 新橋店,050-5488-9148,,東京都,港区新橋,3-14-1,冨誉ビル1・2F,https://ggzs760.gorp.jp/,False
おでん酔いどころ みゆき,050-5493-7944,,愛媛県,松山市二番町,2-7-3,第一内海ビル1F,https://s573000.gorp.jp/,False
琉球 おでん F．B（エフビー）,050-5494-1891,,神奈川県,川崎市川崎区大島,1-23-4,サイトーハイツ1F,https://gdg4602.gorp.jp/,False
おでん・牛たん 居酒屋 おまつ,050-5492-2508,,北海道,札幌市北区北,19条西3-2-17,,https://ha3z400.gorp.jp/,False
おでんと日本酒 あじ菜,050-5484-5504,,大阪府,大阪市中央区東心斎橋,2-7-12,,https://kccg400.gorp.jp/,False
京出汁おでん・青森地鶏 酒場634 新橋店,050-5489-5991,mailto:yakitorimarukin-shimbashi2@golden-magic.com,東京都,港区新橋,2-11-1,メナー新橋ビルB1,https://gdup029.gorp.jp/,False
魚とおでんと瓶ビール 大衆酒場 とろ鯖 南森町店,050-5486-9997,,大阪府,大阪市北区天神橋,3-2-37,,https://keep400.gorp.jp/,False
おでん食べ放題 たま屋,050-5487-2314,,千葉県,千葉市中央区富士見,1-9-1,みゆきナインビル3F,https://gfhf102.gorp.jp/,False
おでん屋たけし なんば店,050-5488-9151,,大阪府,大阪市中央区難波千日前,5,なんなんタウン2号,https://kdpn302.gorp.jp/,False
焼鳥・焼きとん・おでん・天ぷら 大衆酒場つる田 茅ヶ崎,050-5488-2203,,神奈川県,茅ヶ崎市共恵,1-1-9,松竹堂ビル1F,https://ggby202.gorp.jp/,False
金澤おでん あまつぼ,050-5488-6240,,石川県,金沢市広岡,1-5-3,,https://r038003.gorp.jp/,False
魚とおでんと炉端焼き 大衆酒場あさひ通りのさかなのとも,050-5488-7654,,千葉県,柏市旭町,1-4-16,,https://gg44901.gorp.jp/,False
焼き鳥とおでん 串炊きや 大岡山店,050-5484-4525,,東京都,大田区北千束,1-45-11,風月堂ビル2F,https://e050906.gorp.jp/,False
