店舗名,電話番号,メールアドレス,都道府県,市区町村:,番地:,建物名:,URL:,SSL
本格香港点心と個室空間CHINA DOLL 新宿アイランドタワー店,050-5484-5428,,東京都,新宿区西新宿,6-5-1,新宿アイランドタワーパティオB1,https://r.gnavi.co.jp/endwf8fh0000/,False
ブラッスリーオザミ東京スカイツリーソラマチ店,050-5487-6752,,東京都,墨田区押上,1-1-2,東京ソラマチ30F,https://r.gnavi.co.jp/kbnmxzw30000/,False
3時間食べ飲み放題 個室居酒屋 飲み家 上野店,03-6380-5755,,東京都,台東区上野,2-8-4,日栄ビル1番館B1,https://r.gnavi.co.jp/e2gc74ua0000/,False
大山鶏と海鮮浜焼きが旨い 個室居酒屋 無敵屋 八重洲店,050-5484-8708,,東京都,中央区日本橋,2-2-15,テイトビル5F,https://r.gnavi.co.jp/cc0621e60000/,False
博多料理と野菜巻き 完全個室 なまいき 池袋,050-5493-8540,,東京都,豊島区南池袋,1-20-11,池袋第5ビル4F,https://r.gnavi.co.jp/stcar5tc0000/,False
木曽路金町店,050-5484-6528,,東京都,葛飾区新宿,4-1-18,,https://r.gnavi.co.jp/a538508/,False
個室居酒屋 くいもの屋わん豊洲IHIビル店,050-5485-6638,,東京都,江東区豊洲,3-1-1,豊洲IHI101・102区画,https://r.gnavi.co.jp/ad2jcfny0000/,False
完全個室 夜景が見える博多もつ鍋＆炭火焼鳥あかり 上野店,050-5488-1932,,東京都,台東区上野,2-12-23,上野ユーワンビル6F,https://r.gnavi.co.jp/2auk9en00000/,False
肉バル 洋食酒場goat －ゴート－ 立川南口店,050-5486-5200,,東京都,立川市柴崎町,2-2-13,,https://r.gnavi.co.jp/hezarf970000/,False
アジアンレストランバジル 丸の内パレスビル店,050-5485-3860,,東京都,千代田区丸の内,1-1-1,パレスビルB1,https://r.gnavi.co.jp/bn8ypj8n0000/,False
鶏料理専門店×個室 とりかく日比谷シティ店,050-5484-7575,,東京都,千代田区内幸町,2-2-3,日比谷国際ビルB2,https://r.gnavi.co.jp/g414814/,False
Kasthamandap（カスタマンダップ）大塚店,050-5488-1451,,東京都,豊島区北大塚,2-7-9,第33東京ビル5F,https://r.gnavi.co.jp/8c4aguwx0000/,False
黒毛和牛食べ放題縁（エン） 新宿歌舞伎町店,050-5488-8923,cys@ensyouji.co.jp,東京都,新宿区歌舞伎町,1-11-12,,https://r.gnavi.co.jp/d0r9dw100000/,False
焼肉ストーリー 水道橋店,050-5487-1737,,東京都,千代田区神田三崎町,1-4-8,愛光舎ビルB1,https://r.gnavi.co.jp/f7gt3vxu0000/,False
個室ダイニング ウメ子の家品川駅前店,050-5485-6590,,東京都,港区港南,2-6-9,DKビル 2F,https://r.gnavi.co.jp/g493543/,False
創作和食と厳選地酒 辻政 新橋店,050-5492-5582,,東京都,港区新橋,2-15-18,,https://r.gnavi.co.jp/7n2j1tyc0000/,False
和モダン個室＆朝どれ鮮魚と大山地鶏千や‐SENNYA‐八重洲本店,050-5485-0687,,東京都,中央区八重洲,1-7-4,ナリカワビルB1～2F,https://r.gnavi.co.jp/g184900/,False
個室中華 味仙楼 飯田橋本店,050-5488-9613,,東京都,千代田区飯田橋,1-12-6,,https://r.gnavi.co.jp/g281800/,False
ちばい,050-5487-0469,,東京都,日野市日野本町,2-16-26,,https://r.gnavi.co.jp/bt9ry2u90000/,False
三代目 文治日比谷本店,050-5485-6189,,東京都,千代田区有楽町,1-6-3,日比谷頴川ビルB1,https://r.gnavi.co.jp/p462003/,False
日本橋かに福 コレド室町1,050-5487-3640,,東京都,中央区日本橋室町,2-2-1,コレド室町1 3F,https://r.gnavi.co.jp/peaem60s0000/,False
いろりの里 高尾山名主 ごん助,050-5493-2404,,東京都,八王子市南浅川町,4068,,https://r.gnavi.co.jp/b020100/,False
